   No. ,   SiO2  ,   Al2O3 ,   Na2O  ,   MgO   ,   K2O   ,   MnO   ,   TiO2  ,   F     ,   CaO   ,   FeO   ,  Total  ,Comment  ,Sample,Location,type,   Si,   Al,   Na,   Mg,   K,   Mn   ,   Ti,F,   Ca,   Fe,OH
77,52.43,0.6883,4.27,18.6,4.67,0.0737,6.68,1.29,5.67,4.61,98.982,mrwy263_amph4_11 ,MRWY263,EH,lava+xeno,7.49,0.12,1.18,3.96,0.85,0.01,0.72,0.58,0.87,0.55,1.42
78,52.29,0.5941,4.32,17.5,4.74,0.0625,7.28,1.16,5.52,5.32,98.7867,mrwy263_amph4_12 ,MRWY263,EH,lava+xeno,7.5,0.1,1.2,3.74,0.87,0.01,0.79,0.53,0.85,0.64,1.47
79,52.36,0.5982,4.38,17.86,4.7,0.0824,7.11,1.18,5.55,5.12,98.9407,mrwy263_amph4_13 ,MRWY263,EH,lava+xeno,7.5,0.1,1.22,3.81,0.86,0.01,0.77,0.53,0.85,0.61,1.47
80,52.24,0.3402,4.47,14.36,4.8,0.1539,8.73,0.4758,4.87,8.12,98.56,mrwy263_amph4_14 ,MRWY263,EH,lava+xeno,7.55,0.06,1.25,3.09,0.88,0.02,0.95,0.22,0.75,0.98,1.78
81,53.5,0.5661,4.29,18.64,4.65,0.0867,5.9,1.12,5.67,4.52,98.9429,mrwy263_amph5_1 ,MRWY263,EH,lava+xeno,7.61,0.09,1.18,3.95,0.84,0.01,0.63,0.5,0.86,0.54,1.5
82,52.95,0.4856,4.29,17.71,4.74,0.094,6.78,1.08,5.5,5.06,98.6897,mrwy263_amph5_2 ,MRWY263,EH,lava+xeno,7.58,0.08,1.19,3.78,0.87,0.01,0.73,0.49,0.84,0.61,1.51
83,52.78,0.4468,4.33,16.77,4.78,0.0923,7.42,1.01,5.35,5.7,98.6792,mrwy263_amph5_3 ,MRWY263,EH,lava+xeno,7.57,0.08,1.2,3.59,0.87,0.01,0.8,0.46,0.82,0.68,1.54
84,52.54,0.4366,4.3,16.67,4.81,0.1078,7.58,0.9286,5.34,5.85,98.5631,mrwy263_amph5_4 ,MRWY263,EH,lava+xeno,7.55,0.07,1.2,3.57,0.88,0.01,0.82,0.42,0.82,0.7,1.58
85,52.82,0.4667,4.28,17.41,4.75,0.1125,6.99,1.05,5.51,5.3,98.6893,mrwy263_amph5_5 ,MRWY263,EH,lava+xeno,7.57,0.08,1.19,3.72,0.87,0.01,0.75,0.48,0.85,0.63,1.52
86,52.67,0.6088,4.33,17.4,4.66,0.0931,6.91,1.11,5.47,5.3,98.552,mrwy263_amph5_6 ,MRWY263,EH,lava+xeno,7.56,0.1,1.2,3.72,0.85,0.01,0.75,0.5,0.84,0.64,1.5
87,52.48,0.545,4.15,17.75,4.64,0.0789,6.31,1.14,5.52,4.54,97.1539,mrwy263_amph5_7 ,MRWY263,EH,lava+xeno,7.61,0.09,1.17,3.84,0.86,0.01,0.69,0.52,0.86,0.55,1.48
88,52.59,0.7817,4.14,18.64,4.64,0.0612,6.32,1.29,5.87,4.03,98.363,mrwy263_amph5_8 ,MRWY263,EH,lava+xeno,7.53,0.13,1.15,3.98,0.85,0.01,0.68,0.58,0.9,0.48,1.42
89,53.11,0.5289,4.28,17.83,4.67,0.1079,6.63,1.16,5.5,4.82,98.6369,mrwy263_amph5_9 ,MRWY263,EH,lava+xeno,7.59,0.09,1.19,3.8,0.85,0.01,0.71,0.52,0.84,0.58,1.48
90,53.54,0.5982,4.31,18.23,4.73,0.0851,6.25,1.18,5.56,4.74,99.2234,mrwy263_amph5_10 ,MRWY263,EH,lava+xeno,7.61,0.1,1.19,3.86,0.86,0.01,0.67,0.53,0.85,0.56,1.47
91,52.18,1.1969,3.98,19.33,4.49,0.0266,6.01,1.68,6.41,3.41,98.7136,mrwy263_amph5_11 ,MRWY263,EH,lava+xeno,7.46,0.2,1.1,4.12,0.82,0,0.65,0.76,0.98,0.41,1.24
92,53.09,0.5207,4.33,17.63,4.7,0.0897,6.81,1.03,5.39,5.21,98.8004,mrwy263_amph5_12 ,MRWY263,EH,lava+xeno,7.58,0.09,1.2,3.75,0.86,0.01,0.73,0.47,0.82,0.62,1.53
93,52.82,0.5596,4.39,17.58,4.71,0.089,7.03,1.08,5.45,5.21,98.9186,mrwy263_amph5_13 ,MRWY263,EH,lava+xeno,7.55,0.09,1.22,3.75,0.86,0.01,0.76,0.49,0.83,0.62,1.51
94,52.9,0.5628,4.42,17.4,4.72,0.0994,7.14,1.05,5.44,5.4,99.1323,mrwy263_amph5_14 ,MRWY263,EH,lava+xeno,7.55,0.09,1.22,3.7,0.86,0.01,0.77,0.47,0.83,0.64,1.53
95,53.46,0.5073,4.44,19.41,4.72,0.0741,5.48,1.43,5.52,3.83,98.8715,mrwy263_amph6_1 ,MRWY263,EH,lava+xeno,7.61,0.09,1.23,4.12,0.86,0.01,0.59,0.64,0.84,0.46,1.36
96,52.56,0.8453,4.14,18.94,4.65,0.0779,5.93,1.3,5.81,3.95,98.2033,mrwy263_amph6_2 ,MRWY263,EH,lava+xeno,7.54,0.14,1.15,4.05,0.85,0.01,0.64,0.59,0.89,0.47,1.41
97,52.34,0.7767,4.23,18.99,4.54,0.0795,6.42,1.39,5.79,4.07,98.6263,mrwy263_amph6_3 ,MRWY263,EH,lava+xeno,7.49,0.13,1.17,4.05,0.83,0.01,0.69,0.63,0.89,0.49,1.37
98,52.65,0.6348,4.27,19.05,4.72,0.0717,5.81,1.52,5.69,3.92,98.3365,mrwy263_amph6_4 ,MRWY263,EH,lava+xeno,7.56,0.11,1.19,4.08,0.86,0.01,0.63,0.69,0.88,0.47,1.31
99,52.64,0.6873,4.28,19.14,4.65,0.0766,6.07,1.54,5.67,3.92,98.674,mrwy263_amph6_5 ,MRWY263,EH,lava+xeno,7.53,0.12,1.19,4.08,0.85,0.01,0.65,0.7,0.87,0.47,1.3
100,53.17,0.5625,4.36,19.5,4.62,0.0732,5.38,1.61,5.69,3.74,98.7057,mrwy263_amph6_6 ,MRWY263,EH,lava+xeno,7.6,0.09,1.21,4.15,0.84,0.01,0.58,0.73,0.87,0.45,1.27
101,55.05,0.1857,4.8,18.23,4.66,0.0317,6.7,1.05,4.76,4.47,99.9375,mrwy300_amph1_1 ,MRWY300,EH,lava+xeno,7.71,0.03,1.3,3.81,0.83,0,0.71,0.47,0.71,0.52,1.53
102,53.54,0.2807,4.94,17.31,4.55,0.0478,7.87,0.9608,4.71,4.66,98.8694,mrwy300_amph1_2 ,MRWY300,EH,lava+xeno,7.61,0.05,1.36,3.67,0.82,0.01,0.84,0.43,0.72,0.55,1.57
103,53.94,0.1864,4.76,17.71,4.76,0.0378,7.37,0.9785,4.83,4.4,98.9728,mrwy300_amph1_3 ,MRWY300,EH,lava+xeno,7.65,0.03,1.31,3.74,0.86,0,0.79,0.44,0.73,0.52,1.56
104,54.68,0.1735,5.1,18.55,4.62,0.0474,5.12,1.69,4.59,4.56,99.131,mrwy300_amph1_4 ,MRWY300,EH,lava+xeno,7.78,0.03,1.41,3.93,0.84,0.01,0.55,0.76,0.7,0.54,1.24
1,53.729,0.896,4.081,19.641,4.56,0.078,5.825,1.388,6.289,3.513,99.416,mrwy247_amph_matrix1 ,MRWY247,EH,lava+xeno,7.55,0.15,1.11,4.11,0.82,0.01,0.62,0.62,0.95,0.41,1.38
2,54.005,0.88,4.12,20.051,4.526,0.104,5.419,1.421,6.446,3.289,99.663,mrwy247_amph_matrix2 ,MRWY247,EH,lava+xeno,7.56,0.15,1.12,4.19,0.81,0.01,0.57,0.63,0.97,0.39,1.37
3,53.656,0.89,4.079,19.783,4.574,0.07,5.787,1.387,6.303,3.454,99.399,mrwy247_amph_matrix3 ,MRWY247,EH,lava+xeno,7.54,0.15,1.11,4.14,0.82,0.01,0.61,0.62,0.95,0.41,1.38
4,53.745,0.944,4.08,20.152,4.545,0.068,5.43,1.528,6.506,3.058,99.413,mrwy247_amph_matrix4 ,MRWY247,EH,lava+xeno,7.55,0.16,1.11,4.22,0.81,0.01,0.57,0.68,0.98,0.36,1.32
5,53.646,1.035,4.041,19.643,4.638,0.052,5.747,1.248,6.505,3.553,99.583,mrwy247_amph_matrix5 ,MRWY247,EH,lava+xeno,7.53,0.17,1.1,4.11,0.83,0.01,0.61,0.55,0.98,0.42,1.45
6,53.081,1.194,3.995,19.459,4.472,0.083,5.942,1.317,6.613,3.539,99.14,mrwy247_amph_matrix6 ,MRWY247,EH,lava+xeno,7.49,0.2,1.09,4.09,0.8,0.01,0.63,0.59,1,0.42,1.41
7,53.537,0.769,4.193,19.29,4.72,0.071,6.182,1.225,6.071,3.894,99.436,mrwy247_amph_matrix7 ,MRWY247,EH,lava+xeno,7.54,0.13,1.14,4.05,0.85,0.01,0.65,0.55,0.92,0.46,1.45
8,53.537,0.963,4.043,20.304,4.552,0.09,5.227,1.772,6.477,3.061,99.28,mrwy247_amph_matrix8 ,MRWY247,EH,lava+xeno,7.54,0.16,1.1,4.26,0.82,0.01,0.55,0.79,0.98,0.36,1.21
9,54.122,0.683,4.208,19.968,4.702,0.057,5.398,1.359,6.19,3.385,99.5,mrwy247_amph_matrix9 ,MRWY247,EH,lava+xeno,7.59,0.11,1.14,4.18,0.84,0.01,0.57,0.6,0.93,0.4,1.4
10,40.699,0.051,0.029,48.045,0.049,0.345,0.05,0,0.114,10.966,100.348,mrwy247_amph_matrix10 ,MRWY247,EH,lava+xeno,5.75,0.01,0.01,10.12,0.01,0.04,0.01,0,0.02,1.3,2
11,52.864,1.068,4.122,18.536,4.547,0.096,6.663,0.917,6.247,4.373,99.047,mrwy247_amph_matrix11 ,MRWY247,EH,lava+xeno,7.48,0.18,1.13,3.91,0.82,0.01,0.71,0.41,0.95,0.52,1.59
12,53.065,0.821,4.137,18.803,4.759,0.09,6.646,0.94,6.034,4.079,98.978,mrwy247_amph_matrix12 ,MRWY247,EH,lava+xeno,7.51,0.14,1.13,3.96,0.86,0.01,0.71,0.42,0.91,0.48,1.58
13,53.313,0.74,4.169,18.783,4.754,0.087,6.399,1.087,5.978,4.424,99.276,mrwy247_amph_matrix13 ,MRWY247,EH,lava+xeno,7.53,0.12,1.14,3.96,0.86,0.01,0.68,0.49,0.9,0.52,1.51
14,53.096,1.125,4.055,19.272,4.386,0.054,6.096,1.065,6.743,3.654,99.098,mrwy247_amph_matrix14 ,MRWY247,EH,lava+xeno,7.49,0.19,1.11,4.05,0.79,0.01,0.65,0.47,1.02,0.43,1.53
15,54.357,0.686,4.128,20.16,4.602,0.056,5.231,1.327,6.244,3.046,99.278,mrwy247_amph_matrix15 ,MRWY247,EH,lava+xeno,7.62,0.11,1.12,4.21,0.82,0.01,0.55,0.59,0.94,0.36,1.41
16,57.754,19.152,0.148,0.973,22.022,0.005,0.104,0,0.077,2.351,102.586,mrwy247_amph_xeno1 ,MRWY247,EH,lava+xeno,7.94,3.1,0.04,0.2,3.86,0,0.01,0,0.01,0.27,2
17,53.849,0.344,4.299,17.546,4.832,0.04,7.909,0.5,5.963,4.015,99.086,mrwy247_amph_xeno2 ,MRWY247,EH,lava+xeno,7.58,0.06,1.17,3.68,0.87,0,0.84,0.22,0.9,0.47,1.78
18,53.152,0.358,4.442,17.048,5,0.057,9.419,0.465,5.172,3.916,98.833,mrwy247_amph_xeno3 ,MRWY247,EH,lava+xeno,7.51,0.06,1.22,3.59,0.9,0.01,1,0.21,0.78,0.46,1.79
19,54.228,0.737,4.154,20.274,4.66,0.058,4.957,1.548,6.331,3.089,99.384,mrwy304_amph_matrix1 ,MRWY304,EH,lava+xeno,7.61,0.12,1.13,4.24,0.83,0.01,0.52,0.69,0.95,0.36,1.31
20,53.303,1.013,4.111,19.727,4.531,0.084,5.729,1.355,6.429,3.353,99.064,mrwy304_amph_matrix2 ,MRWY304,EH,lava+xeno,7.52,0.17,1.12,4.15,0.82,0.01,0.61,0.6,0.97,0.4,1.4
21,53.843,1.059,4.039,20.313,4.545,0.055,5.306,1.682,6.454,3.006,99.594,mrwy304_amph_matrix3 ,MRWY304,EH,lava+xeno,7.55,0.17,1.1,4.24,0.81,0.01,0.56,0.75,0.97,0.35,1.25
22,54.311,0.906,4.014,21.132,4.611,0.085,4.389,2.1,6.513,2.517,99.694,mrwy304_amph_matrix4 ,MRWY304,EH,lava+xeno,7.6,0.15,1.09,4.41,0.82,0.01,0.46,0.93,0.98,0.29,1.07
23,54.267,0.855,4.113,20.223,4.635,0.075,5.097,1.492,6.29,3.136,99.555,mrwy304_amph_matrix5 ,MRWY304,EH,lava+xeno,7.6,0.14,1.12,4.22,0.83,0.01,0.54,0.66,0.94,0.37,1.34
24,54.338,0.88,4.171,20.216,4.513,0.091,5.086,1.676,6.239,3.078,99.582,mrwy304_amph_matrix6 ,MRWY304,EH,lava+xeno,7.61,0.15,1.13,4.22,0.81,0.01,0.54,0.74,0.94,0.36,1.26
25,53.584,1.03,3.934,20.992,4.568,0.052,4.742,2.023,6.605,2.654,99.332,mrwy304_amph_matrix7 ,MRWY304,EH,lava+xeno,7.54,0.17,1.07,4.4,0.82,0.01,0.5,0.9,1,0.31,1.1
26,53.782,1.11,3.928,20.952,4.529,0.047,4.611,2.045,6.733,2.539,99.415,mrwy304_amph_matrix8 ,MRWY304,EH,lava+xeno,7.55,0.18,1.07,4.39,0.81,0.01,0.49,0.91,1.01,0.3,1.09
27,53.969,0.906,4.1,20.234,4.629,0.042,5.342,1.587,6.269,3.093,99.503,mrwy304_amph_matrix9 ,MRWY304,EH,lava+xeno,7.57,0.15,1.11,4.23,0.83,0,0.56,0.7,0.94,0.36,1.3
28,53.36,1.199,3.92,20.316,4.51,0.03,5.074,1.752,6.615,2.819,98.857,mrwy304_amph_matrix10 ,MRWY304,EH,lava+xeno,7.53,0.2,1.07,4.28,0.81,0,0.54,0.78,1,0.33,1.22
29,53.612,0.919,4.044,20.421,4.575,0.057,5.135,1.635,6.376,2.913,98.999,mrwy304_amph_matrix11 ,MRWY304,EH,lava+xeno,7.56,0.15,1.11,4.29,0.82,0.01,0.54,0.73,0.96,0.34,1.27
30,54.292,0.841,4.083,20.892,4.495,0.07,4.226,1.824,6.418,2.529,98.902,mrwy304_amph_matrix12 ,MRWY304,EH,lava+xeno,7.64,0.14,1.11,4.38,0.81,0.01,0.45,0.81,0.97,0.3,1.19
31,54.084,0.361,4.382,18.117,4.831,0.03,8.581,0.704,5.097,3.514,99.405,mrwy304_amph_xeno1 ,MRWY304,EH,lava+xeno,7.56,0.06,1.19,3.78,0.86,0,0.9,0.31,0.76,0.41,1.69
32,54.036,0.473,4.24,18.636,4.876,0.035,8.252,0.8,5.382,3.246,99.639,mrwy304_amph_xeno2 ,MRWY304,EH,lava+xeno,7.54,0.08,1.15,3.88,0.87,0,0.87,0.35,0.8,0.38,1.65
33,54.645,0.299,4.521,18.332,4.912,0.018,7.716,0.752,4.972,3.288,99.138,mrwy304_amph_xeno3 ,MRWY304,EH,lava+xeno,7.65,0.05,1.23,3.82,0.88,0,0.81,0.33,0.75,0.38,1.67
34,54.555,0.116,5.482,18.821,5.055,0.04,6.983,1.138,3.539,3.948,99.198,mrwy304_amph_xeno4 ,MRWY304,EH,lava+xeno,7.67,0.02,1.49,3.95,0.91,0,0.74,0.51,0.53,0.46,1.49
35,53.762,0.058,5.466,17.659,5.084,0.028,8.237,1.091,3.17,4.531,98.627,mrwy304_amph_xeno5 ,MRWY304,EH,lava+xeno,7.63,0.01,1.5,3.74,0.92,0,0.88,0.49,0.48,0.54,1.51
36,58.156,19.787,0.165,0.967,21.959,0,0.227,0,0.016,2.4,103.677,mrwy304_amph_xeno6 ,MRWY304,EH,lava+xeno,7.9,3.17,0.04,0.2,3.81,0,0.02,0,0,0.27,2
37,57.408,19.967,0.17,1.128,21.477,0.003,0.134,0.092,0.578,1.868,102.786,mrwy304_amph_xeno7 ,MRWY304,EH,lava+xeno,7.86,3.22,0.05,0.23,3.75,0,0.01,0.04,0.08,0.21,1.96
31,52.59,1.5456,4.34,20.56,3.91,0.0132,5.59,1.85,6.79,2.11,99.2989,mrwy265_amph1 ,MRWY265,HM,cumul,7.43,0.26,1.19,4.33,0.71,0,0.59,0.83,1.03,0.25,1.17
32,52.21,1.5762,4.29,20.21,3.97,0.0172,6.08,1.7,6.76,2.18,98.9935,mrwy265_amph2 ,MRWY265,HM,cumul,7.4,0.26,1.18,4.27,0.72,0,0.65,0.76,1.03,0.26,1.24
33,53.86,1.5967,4.68,21.55,3.89,0.0338,5.73,1.68,6.42,2.22,101.6604,mrwy265_amph3 ,MRWY265,HM,cumul,7.41,0.26,1.25,4.42,0.68,0,0.59,0.73,0.95,0.26,1.27
35,58.22,21.46,0.0317,0.6604,22.38,0.012,0.2138,0.0314,0.001,2.23,105.2402,mrwy265_amph5 ,MRWY265,HM,cumul,7.79,3.38,0.01,0.13,3.82,0,0.02,0.01,0,0.25,1.99
36,55.27,12.78,1.96,7.06,11.99,0.0401,2.24,0.16,7.22,2.62,101.34,mrwy265_amph6 ,MRWY265,HM,cumul,7.63,2.08,0.52,1.45,2.11,0,0.23,0.07,1.07,0.3,1.93
37,44.59,12.95,2.32,15.64,0.7817,0.0601,1.326,0.1447,11.96,7.31,97.0826,mrwy89_amph1 ,MRWY89,HM,cumul,6.45,2.21,0.65,3.37,0.14,0.01,0.14,0.07,1.85,0.88,1.93
38,44.62,12.32,2.54,16.76,0.6684,0.0795,1.1625,0.1518,11.96,6.81,97.0723,mrwy89_amph2 ,MRWY89,HM,cumul,6.45,2.1,0.71,3.61,0.12,0.01,0.13,0.07,1.85,0.82,1.93
39,43.74,13.09,2.32,16.45,0.769,0.0703,1.2855,0.1418,11.69,7.52,97.0767,mrwy89_amph3 ,MRWY89,HM,cumul,6.34,2.24,0.65,3.55,0.14,0.01,0.14,0.06,1.82,0.91,1.94
